"%1 - %2","%1 - %2"
"%1 Gift Card","%1 Gift Card"
"%1 Gift Cards","%1 Gift Cards"
"%1 amount of %2 via Stripe. Transaction ID: %3","%1 amount of %2 via Stripe. Transaction ID: %3"
"%1 could not be captured online because it was already captured via Stripe. Capturing %1 offline instead.","%1 could not be captured online because it was already captured via Stripe. Capturing %1 offline instead."
"%1 could not be captured online because this cart includes subscriptions which are trialing. Capturing %1 offline instead.","%1 could not be captured online because this cart includes subscriptions which are trialing. Capturing %1 offline instead."
"%1 every %2 %3","%1 every %2 %3"
"%1 every %2","%1 every %2"
"%1 has already captured via Stripe. The invoice was in Pending status, likely because a webhook could not be delivered to your website. Capturing %1 offline instead.","%1 has already captured via Stripe. The invoice was in Pending status, likely because a webhook could not be delivered to your website. Capturing %1 offline instead."
"%1 out of %2 could not be refunded online. Creating an offline refund instead.","%1 out of %2 could not be refunded online. Creating an offline refund instead."
"%1 via Stripe","%1 via Stripe"
"%1 •••• %2","%1 •••• %2"
"%action amount %amount through Stripe.","%action amount %amount through Stripe."
"Button height","Button height"
"Button theme","Button theme"
"Button type","Button type"
"Canceled the authorization of %1 online. This amount includes %2 multishipping orders.","Canceled the authorization of %1 online. This amount includes %2 multishipping orders."
"Cannot capture payment because it was created using a different currency (%1).","Cannot capture payment because it was created using a different currency (%1)."
"Cannot perform this action online because the order or invoice has no transaction ID. You can retry in offline mode instead.","Cannot perform this action online because the order or invoice has no transaction ID. You can retry in offline mode instead."
"Cannot place order because a payment method was not provided.","Cannot place order because a payment method was not provided."
"Cannot refund %1.","Cannot refund %1."
"Cannot resume checkout session. Please contact us for help.","Cannot resume checkout session. Please contact us for help."
"Captured %1 online. This amount includes %2 multishipping orders.","Captured %1 online. This amount includes %2 multishipping orders."
"Captured %1 online. This is a joint amount for %2 multishipping orders.","Captured %1 online. This is a joint amount for %2 multishipping orders."
"Captured payment of %1 through Stripe.","Captured payment of %1 through Stripe."
"Capturing %1 instead of %2 because subscription items cannot be captured.","Capturing %1 instead of %2 because subscription items cannot be captured."
"Card **** %1 has been deleted.","Card **** %1 has been deleted."
"Card icons","Card icons"
"Cart %1 by %2","Cart %1 by %2"
"Cart %1","Cart %1"
"Cartes Bancaires","Cartes Bancaires"
"Checkout page (top section)","Checkout page (top section)"
"Checkout with ","Checkout with "
"Could not create recurring subscription order. The shipping method '%1' from order #%2 is no longer available, and there are no alternative shipping methods to use.","Could not create recurring subscription order. The shipping method '%1' from order #%2 is no longer available, and there are no alternative shipping methods to use."
"Could not place order: Please specify a shipping method.","Could not place order: Please specify a shipping method."
"Could not place order: Your checkout session has expired.","Could not place order: Your checkout session has expired."
"Could not refund invoice because %1 is not a valid Payment Intent ID","Could not refund invoice because %1 is not a valid Payment Intent ID"
"Could not refund payment: %1","Could not refund payment: %1"
"Could not set order refunded amount because the currency %1 matches neither the order currency, nor the base currency.","Could not set order refunded amount because the currency %1 matches neither the order currency, nor the base currency."
"Could not set up customer profile: %1","Could not set up customer profile: %1"
"Cron: Captured %1 online. This amount is part of %2 multishipping orders totaling %3. Transaction ID: %4","Cron: Captured %1 online. This amount is part of %2 multishipping orders totaling %3. Transaction ID: %4"
"Cron: Partially captured %1 online. This amount is part of %2 multishipping orders totaling %3, and does not include cancelations and refunds. Transaction ID: %4","Cron: Partially captured %1 online. This amount is part of %2 multishipping orders totaling %3, and does not include cancelations and refunds. Transaction ID: %4"
"Cron: The amount to be captured (%1) is larger than the authorized amount of %2. We will capture %2 instead. Transaction ID: %3","Cron: The amount to be captured (%1) is larger than the authorized amount of %2. We will capture %2 instead. Transaction ID: %3"
"Customer abandoned the cart. The payment session has expired.","Customer abandoned the cart. The payment session has expired."
"Customer authentication is pending for this order.","Customer authentication is pending for this order."
"DEPRECATION WARNING - Expiring discount coupons only apply with the embedded payment flow (Stripe Elements).","DEPRECATION WARNING - Expiring discount coupons only apply with the embedded payment flow (Stripe Elements)."
"Digital Wallet Payment via Stripe","Digital Wallet Payment via Stripe"
"Diners Club","Diners Club"
"Discounts cannot be applied on trial subscriptions.","Discounts cannot be applied on trial subscriptions."
"Display all card icons","Display all card icons"
"Embed Stripe Elements into the native flow.","Embed Stripe Elements into the native flow."
"Error: Could not find region %1 for country %2.","Error: Could not find region %1 for country %2."
"Event with ID %1 has already been processed.","Event with ID %1 has already been processed."
"Exception for failed order not found.","Exception for failed order not found."
"Expired authorizations","Expired authorizations"
"Fraud via Stripe Radar","Fraud via Stripe Radar"
"General settings","General settings"
"Hold elevated risk orders","Hold elevated risk orders"
"Ignoring %1 webhook event with no associated order ID.","Ignoring %1 webhook event with no associated order ID."
"Initial Fee","Initial Fee"
"Invalid %1 address.","Invalid %1 address."
"Invalid type specified for Wallet Button params","Invalid type specified for Wallet Button params"
"Live publishable API key","Live publishable API key"
"Live secret API key","Live secret API key"
"Module version","Module version"
"Multiple months","Multiple months"
"Multishipping orders %1 by %2","Multishipping orders %1 by %2"
"New payment method","New payment method"
"No payment method.","No payment method."
"Number of months","Number of months"
"One time payment","One time payment"
"Optional statement descriptor","Optional statement descriptor"
"Order #","Order #"
"Order #%1 by %2","Order #%1 by %2"
"Order #%1","Order #%1"
"Order Total","Order Total"
"Order created via subscriptions CLI migration tool.","Order created via subscriptions CLI migration tool."
"Order placed under manual review by Stripe Radar.","Order placed under manual review by Stripe Radar."
"Partially captured %1 online. This amount is part of %2 multishipping orders totaling %3, and does not include cancelations and refunds.","Partially captured %1 online. This amount is part of %2 multishipping orders totaling %3, and does not include cancelations and refunds."
"Past Due","Past Due"
"Payment Method","Payment Method"
"Payment action","Payment action"
"Payment authentication failed.","Payment authentication failed."
"Payment authorization succeeded.","Payment authorization succeeded."
"Payment due","Payment due"
"Payment failed. Please try placing the order again.","Payment failed. Please try placing the order again."
"Payment failed.","Payment failed."
"Payment failed: %1","Payment failed: %1"
"Payment failed: %1. Please try placing the order again.","Payment failed: %1. Please try placing the order again."
"Payment flow","Payment flow"
"Payment methods","Payment methods"
"Payment status","Payment status"
"Payment succeeded.","Payment succeeded."
"Place Order","Place Order"
"Please agree to the terms and conditions before placing the order.","Please agree to the terms and conditions before placing the order."
"Please choose a payment method.","Please choose a payment method."
"Please complete all required fields before placing the order.","Please complete all required fields before placing the order."
"Please complete your payment details.","Please complete your payment details."
"Please select a payment method.","Please select a payment method."
"Please specify a payment method.","Please specify a payment method."
"Please specify a shipping address region/state.","Please specify a shipping address region/state."
"Please update your billing address to proceed.","Please update your billing address to proceed."
"Product pages","Product pages"
"Quote address for failed order ID ""%1"" not found.","Quote address for failed order ID ""%1"" not found."
"Receipt emails","Receipt emails"
"Received %1 webhook but there was no associated Order #","Received %1 webhook but there was no associated Order #"
"Received %1 webhook with Order #%2 but could not find the order in Magento.","Received %1 webhook with Order #%2 but could not find the order in Magento."
"Redirect customers to Stripe Checkout.","Redirect customers to Stripe Checkout."
"Requested a refund of %1, but the most amount that can be refunded online is %2. You can retry refunding offline instead.","Requested a refund of %1, but the most amount that can be refunded online is %2. You can retry refunding offline instead."
"Requested a refund of %1, but the most amount that can be refunded online is %2.","Requested a refund of %1, but the most amount that can be refunded online is %2."
"Risk evaluation","Risk evaluation"
"SCA MOTO exemptions","SCA MOTO exemptions"
"Save customer payment method","Save customer payment method"
"Saved Payment Methods","Saved Payment Methods"
"Scheduled %1 to be captured via cron on %5. This amount is part of %2 multishipping orders totaling %3. To capture now instead, invoice or cancel all multishipping orders (%4). ","Scheduled %1 to be captured via cron on %5. This amount is part of %2 multishipping orders totaling %3. To capture now instead, invoice or cancel all multishipping orders (%4). "
"Scheduled %1 to be refunded via cron on %2. This amount is part of %3 multishipping orders totaling %4. To refund now instead, invoice or cancel all multishipping orders (%5). ","Scheduled %1 to be refunded via cron on %2. This amount is part of %3 multishipping orders totaling %4. To refund now instead, invoice or cancel all multishipping orders (%5). "
"Select card icons","Select card icons"
"Seller name","Seller name"
"Shipping Address","Shipping Address"
"Ships to %1","Ships to %1"
"Shopping cart page","Shopping cart page"
"Show only specific cards","Show only specific cards"
"Sorry, it is not possible to delete this payment method because order #%1 which was placed using it is still being processed.","Sorry, it is not possible to delete this payment method because order #%1 which was placed using it is still being processed."
"Sorry, it is not possible to invoice this order because the payment is still pending.","Sorry, it is not possible to invoice this order because the payment is still pending."
"Sorry, the order could not be placed. Please contact us for assistance.","Sorry, the order could not be placed. Please contact us for assistance."
"Sorry, the order could not be placed. Please contact us for more help.","Sorry, the order could not be placed. Please contact us for more help."
"Sorry, the selected payment method is not available. Please use a different payment method.","Sorry, the selected payment method is not available. Please use a different payment method."
"Sorry, the subscription could not be canceled. Please contact us for more help.","Sorry, the subscription could not be canceled. Please contact us for more help."
"Sorry, this payment method is not available in your country.","Sorry, this payment method is not available in your country."
"Sorry, this payment method is not available. Please contact us for assistance.","Sorry, this payment method is not available. Please contact us for assistance."
"Sort order","Sort order"
"Specific Currencies","Specific Currencies"
"Stripe - %1","Stripe - %1"
"Stripe Checkout - %1","Stripe Checkout - %1"
"Stripe Checkout session has expired without a payment.","Stripe Checkout session has expired without a payment."
"Subscription amount","Subscription amount"
"Subscription items cannot be captured online. Will capture offline instead.","Subscription items cannot be captured online. Will capture offline instead."
"Subscription status","Subscription status"
"Subscriptions by Stripe","Subscriptions by Stripe"
"Subscriptions that do not renew together must be bought separately.","Subscriptions that do not renew together must be bought separately."
"Subscriptions via Stripe Billing","Subscriptions via Stripe Billing"
"Test publishable API key","Test publishable API key"
"Test secret API key","Test secret API key"
"The Subscription has been canceled successfully!","The Subscription has been canceled successfully!"
"The amount to be captured (%1) is larger than the authorized amount of %2. We will capture %2 instead.","The amount to be captured (%1) is larger than the authorized amount of %2. We will capture %2 instead."
"The authorization has expired and the original payment method cannot be reused to re-create the payment.","The authorization has expired and the original payment method cannot be reused to re-create the payment."
"The billing details for a subscription on this order have changed. Please see order #%1 for information on the new billing details.","The billing details for a subscription on this order have changed. Please see order #%1 for information on the new billing details."
"The cart details have changed. Please refresh the page and try again (1).","The cart details have changed. Please refresh the page and try again (1)."
"The cart details have changed. Please refresh the page and try again.","The cart details have changed. Please refresh the page and try again."
"The checkout session for order #%1 could not be retrieved from Stripe","The checkout session for order #%1 could not be retrieved from Stripe"
"The customer does not have any saved payment methods.","The customer does not have any saved payment methods."
"The customer has paid the invoice for this order.","The customer has paid the invoice for this order."
"The customer left from the payment page without paying.","The customer left from the payment page without paying."
"The customer returned from Stripe and changed the cart details.","The customer returned from Stripe and changed the cart details."
"The customer was redirected for payment processing. The payment is pending.","The customer was redirected for payment processing. The payment is pending."
"The discount for %1 could not be created in Stripe: %2","The discount for %1 could not be created in Stripe: %2"
"The discount for order #%1 could not be created in Stripe: %2","The discount for order #%1 could not be created in Stripe: %2"
"The gift cards for order #%1 could not be created in Stripe: %2","The gift cards for order #%1 could not be created in Stripe: %2"
"The invoice could not be created in Stripe: %1","The invoice could not be created in Stripe: %1"
"The invoice for order #%1 could not be created in Stripe: %2","The invoice for order #%1 could not be created in Stripe: %2"
"The invoice for this order could not be found.","The invoice for this order could not be found."
"The invoice item for product ""%1"" could not be created in Stripe: %2","The invoice item for product ""%1"" could not be created in Stripe: %2"
"The invoice was voided from the Stripe Dashboard.","The invoice was voided from the Stripe Dashboard."
"The maximum available amount to capture is %1, but a capture of %2 was requested. Will capture %1 instead.","The maximum available amount to capture is %1, but a capture of %2 was requested. Will capture %1 instead."
"The most amount that can be captured online is %1.","The most amount that can be captured online is %1."
"The order billing address has changed (%1).","The order billing address has changed (%1)."
"The order could not be placed. Please contact us for assistance.","The order could not be placed. Please contact us for assistance."
"The order details have changed (%1).","The order details have changed (%1)."
"The order items have changed (%1).","The order items have changed (%1)."
"The order shipping address has changed (%1).","The order shipping address has changed (%1)."
"The order shipping method has changed (%1).","The order shipping method has changed (%1)."
"The payment for this order has not been authorized yet.","The payment for this order has not been authorized yet."
"The payment for this order is pending! An invoice will be sent separately which includes a payment link. Please click the link to complete the payment.","The payment for this order is pending! An invoice will be sent separately which includes a payment link. Please click the link to complete the payment."
"The payment has been approved through Stripe.","The payment has been approved through Stripe."
"The payment method has been deleted.","The payment method has been deleted."
"The payment was canceled through Stripe with reason: %1.","The payment was canceled through Stripe with reason: %1."
"The price for product ""%1"" could not be created in Stripe: %2","The price for product ""%1"" could not be created in Stripe: %2"
"The product ""%1"" could not be created in Stripe: %2","The product ""%1"" could not be created in Stripe: %2"
"The shipping amount for order #%1 could not be created in Stripe: %2","The shipping amount for order #%1 could not be created in Stripe: %2"
"The tax for order #%1 could not be created in Stripe: %2","The tax for order #%1 could not be created in Stripe: %2"
"This discount coupon cannot be applied on this order. Please remove the coupon and try again (err: 0)","This discount coupon cannot be applied on this order. Please remove the coupon and try again (err: 0)"
"This is a multi-shipping event that has not been implemented; ignoring.","This is a multi-shipping event that has not been implemented; ignoring."
"This order cannot be captured from Magento. The invoice will be automatically updated once the customer has paid through a Stripe hosted invoice page.","This order cannot be captured from Magento. The invoice will be automatically updated once the customer has paid through a Stripe hosted invoice page."
"This order has been automatically canceled because no payment has been collected for it. It can only be used as a billing details reference for the subscription items in the order. The subscription is still active and a new order will be created when it renews.","This order has been automatically canceled because no payment has been collected for it. It can only be used as a billing details reference for the subscription items in the order. The subscription is still active and a new order will be created when it renews."
"This order has been placed with a deprecated payment method.","This order has been placed with a deprecated payment method."
"This order was placed with a deprecated payment method. Please refund the order via the Stripe Dashboard.","This order was placed with a deprecated payment method. Please refund the order via the Stripe Dashboard."
"This order will be automatically closed because no payment has been collected for it. It can only be used as a billing details reference for the subscription items in the order. The subscription is still active and a new order will be created when it renews.","This order will be automatically closed because no payment has been collected for it. It can only be used as a billing details reference for the subscription items in the order. The subscription is still active and a new order will be created when it renews."
"This payment method cannot be used because it requires a customer authentication. To avoid authentication in the admin area, please contact magento@stripe.com to request access to the MOTO gate for your Stripe account.","This payment method cannot be used because it requires a customer authentication. To avoid authentication in the admin area, please contact magento@stripe.com to request access to the MOTO gate for your Stripe account."
"This payment method is not supported.","This payment method is not supported."
"This value is only used if the coupon duration is ""Multiple months"".","This value is only used if the coupon duration is ""Multiple months""."
"Too many orders, please reduce shipping addresses and try again.","Too many orders, please reduce shipping addresses and try again."
"Trial Discount","Trial Discount"
"Trial Shipping","Trial Shipping"
"Trial Tax","Trial Tax"
"Trial ends %1","Trial ends %1"
"Try to re-create the charge using the same card","Try to re-create the charge using the same card"
"Unknown event type","Unknown event type"
"Unsupported bundle subscription.","Unsupported bundle subscription."
"View in Stripe","View in Stripe"
"View voucher","View voucher"
"Wallet Button","Wallet Button"
"Wallet buttons","Wallet buttons"
"Wallet payment via Stripe","Wallet payment via Stripe"
"Warn admin and don't capture","Warn admin and don't capture"
"We can't complete your order because you don't have a payment method set up.","We can't complete your order because you don't have a payment method set up."
"We do not know how to capture payments with a token of this format.","We do not know how to capture payments with a token of this format."
"We refunded %1 through Stripe.","We refunded %1 through Stripe."
"We refunded offline the expired authorization of %1. Charge ID: %2","We refunded offline the expired authorization of %1. Charge ID: %2"
"We refunded online %1 via Stripe. Charge ID: %2","We refunded online %1 via Stripe. Charge ID: %2"
"We refunded online %1 via Stripe. Charge ID: %2. Invoice ID: %3","We refunded online %1 via Stripe. Charge ID: %2. Invoice ID: %3"
"We refunded online/released the uncaptured amount of %1 via Stripe. Charge ID: %2","We refunded online/released the uncaptured amount of %1 via Stripe. Charge ID: %2"
"Webhook origin check","Webhook origin check"
"You do not have any saved payment methods.","You do not have any saved payment methods."
"You do not have any subscriptions yet.","You do not have any subscriptions yet."
"You have specified a coupon duration of Multiple Months, but you did not enter a valid months number.","You have specified a coupon duration of Multiple Months, but you did not enter a valid months number."
"You must first configure your Stripe API keys before you can configure webhooks","You must first configure your Stripe API keys before you can configure webhooks"
"You'll be redirected to Stripe to complete your payment using one of the following payment methods:","You'll be redirected to Stripe to complete your payment using one of the following payment methods:"
"Your %1 order confirmation","Your %1 order confirmation"
"Your checkout session has expired. Please refresh the checkout page and try again.","Your checkout session has expired. Please refresh the checkout page and try again."
"Your checkout session has expired. Please try to place the order again.","Your checkout session has expired. Please try to place the order again."
"Your order #%1 could not be placed. Please contact us for assistance.","Your order #%1 could not be placed. Please contact us for assistance."
"Your order has already been placed, but no payment was collected. Please refresh the page and try again.","Your order has already been placed, but no payment was collected. Please refresh the page and try again."
"Your order has been canceled because the payment was declined.","Your order has been canceled because the payment was declined."
"Your order has been canceled because the payment was declined: %1","Your order has been canceled because the payment was declined: %1"
"Your order was placed successfully, but your browser session has expired. Please check your email for an order confirmation.","Your order was placed successfully, but your browser session has expired. Please check your email for an order confirmation."
"Your trial period for order #%1 has started.","Your trial period for order #%1 has started."
"after the invoice has been sent.","after the invoice has been sent."
"error"" ""message","error"" ""message"
"every %1 %2","every %1 %2"
"every %1","every %1"
"last billed %1<sup>%2</sup>&nbsp;%3","last billed %1<sup>%2</sup>&nbsp;%3"
"trialing until %1<sup>%2</sup> %3","trialing until %1<sup>%2</sup> %3"
"•••• %1","•••• %1"
Actions,Actions
Active,Active
Amount,Amount
Applies,Applies
Authorized,Authorized
Billed,Billed
Buy,Buy
Cancel,Cancel
Canceled,Canceled
Captured,Captured
Card,Card
Change,Change
Close,Close
Collected,Collected
Configure,Configure
Customer,Customer
Dark,Dark
Default,Default
Delete,Delete
Disabled,Disabled
Discount,Discount
Discover,Discover
Donate,Donate
Enabled,Enabled
Error,Error
Forever,Forever
Invoice,Invoice
JCB,JCB
Light,Light
Light-Outline,Light-Outline
Live,Live
MasterCard,MasterCard
Minicart,Minicart
Mode,Mode
Once,Once
Payment,Payment
Payments,Payments
Processed,Processed
Renewal,Renewal
Save,Save
Shipping,Shipping
Status,Status
Stripe,Stripe
Subscription,Subscription
Subscriptions,Subscriptions
Tax,Tax
Test,Test
Title,Title
Unpaid,Unpaid
Visa,Visa
Voucher,Voucher
Webhooks,Webhooks
billing,billing
days,days
or,or
shipping,shipping
